Iteration	Time	Timesteps	MeanReturn	BestMeanReturn	Episodes	Exploration
50000	3.9758405407269795	50999	-68.28290173939801	-68.28290173939801	166	0.02
51000	4.057486923535665	51999	-65.99483015856045	-65.99483015856045	167	0.02
52000	4.126739784081777	52999	-61.75130306593037	-61.75130306593037	169	0.02
53000	4.209024270375569	53999	-60.82679974798403	-60.82679974798403	170	0.02
54000	4.275585428873698	54999	-61.3828943460036	-60.82679974798403	171	0.02
55000	4.35618241628011	55999	-60.4383224152335	-60.4383224152335	172	0.02
56000	4.426665564378102	56999	-59.47343244006879	-59.47343244006879	173	0.02
57000	4.502373663584391	57999	-57.32846395295161	-57.32846395295161	174	0.02
58000	4.580963524182637	58999	-57.028678356192174	-57.028678356192174	175	0.02
59000	4.661713834603628	59999	-53.00771917541372	-53.00771917541372	177	0.02
60000	4.748611791928609	60999	-52.75595770816526	-52.75595770816526	178	0.02
61000	5.021559099356334	61999	-49.99877404433689	-49.99877404433689	180	0.02
62000	5.083265880743663	62999	-46.415370490192046	-46.415370490192046	183	0.02
63000	5.146873911221822	63999	-40.223433108480926	-40.223433108480926	186	0.02
64000	5.2138148228327434	64999	-37.27869378173537	-37.27869378173537	188	0.02
65000	5.280674839019776	65999	-26.813518278284338	-26.813518278284338	190	0.02
66000	5.355144019921621	66999	-24.62511004031964	-24.62511004031964	191	0.02
67000	5.441484657923381	67999	-24.015136348031284	-24.015136348031284	192	0.02
68000	5.503115538756052	68999	-16.347214021545682	-16.347214021545682	195	0.02
69000	5.57493306795756	69999	-12.602937027070544	-12.602937027070544	196	0.02
